No,InputData,Kernel,Data,DataID,DRAMFrequency,SMFrequency,ElapsedCycles,MemoryPercentage,SOLDRAM,Duration,SOLL1/TEXCache,SOLL2Cache,SMActiveCycles,SMPercentage,BlockSize,GridSize,RegistersPerThread,SharedMemoryConfigurationSize,DriverSharedMemoryPerBlock,DynamicSharedMemoryPerBlock,StaticSharedMemoryPerBlock,Threads,WavesPerSM,BlockLimitSM,BlockLimitRegisters,BlockLimitSharedMem,BlockLimitWarps,TheoreticalActiveWarpsperSM,TheoreticalOccupancy,AchievedOccupancy,AchievedActiveWarpsPerSM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
1,256,needle_cuda_shared_1,referrence,0,612917186.84625,916586002.8925,10273.0625,0.7793749999999999,0.3725000000000001,11206.0,10.749999999999998,0.35125,745.7918749999999,0.26875,16.0,8.5,32.0,98304.0,0.0,0.0,2180.0,136.0,0.0025,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999998,1.0,11,0x200060000000,0x200060040804,264196,2,19,320.0,0.0,0.0,0
2,256,needle_cuda_shared_1,input_itemsets,1,612917186.84625,916586002.8925,10273.0625,0.7793749999999999,0.3725000000000001,11206.0,10.749999999999998,0.35125,745.7918749999999,0.26875,16.0,8.5,32.0,98304.0,0.0,0.0,2180.0,136.0,0.0025,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999998,1.0,11,0x200060040a00,0x200060081204,264196,3,7,256.0,0.0,0.0,0
3,256,needle_cuda_shared_2,referrence,0,622413958.4073334,930536304.8066666,10365.466666666667,0.7279999999999999,0.3493333333333333,11138.133333333333,10.721333333333332,0.33066666666666666,703.9119999999998,0.25066666666666665,16.0,8.0,32.0,98304.0,0.0,0.0,2180.0,128.0,0.002,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999998,1.0,11,0x200060000000,0x200060040804,264196,2,19,320.0,0.0,0.0,0
4,256,needle_cuda_shared_2,input_itemsets,1,622413958.4073334,930536304.8066666,10365.466666666667,0.7279999999999999,0.3493333333333333,11138.133333333333,10.721333333333332,0.33066666666666666,703.9119999999998,0.25066666666666665,16.0,8.0,32.0,98304.0,0.0,0.0,2180.0,128.0,0.002,32.0,64.0,42.0,64.0,32.0,50.0,1.5599999999999998,1.0,11,0x200060040a00,0x200060081204,264196,3,7,256.0,0.0,0.0,3
5,512,needle_cuda_shared_1,referrence,0,615535634.2284374,920705276.0796877,10284.375,1.510625,0.7203124999999999,11169.0,10.781875,0.495625,1442.1990625000005,0.5215625,16.0,16.5,32.0,98304.0,0.0,0.0,2180.0,264.0,0.006250000000000001,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000005,1.0,11,0x200060000000,0x200060101004,1052676,6,23,1088.0,0.0,0.0,0
6,512,needle_cuda_shared_1,input_itemsets,1,615535634.2284374,920705276.0796877,10284.375,1.510625,0.7203124999999999,11169.0,10.781875,0.495625,1442.1990625000005,0.5215625,16.0,16.5,32.0,98304.0,0.0,0.0,2180.0,264.0,0.006250000000000001,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000005,1.0,11,0x200060200000,0x200060301004,1052676,6,5,1088.0,0.0,0.0,0
7,512,needle_cuda_shared_2,referrence,0,620427603.6522582,927793908.2361289,10313.58064516129,1.4629032258064514,0.6987096774193549,11114.322580645161,10.763548387096774,0.4838709677419355,1403.0303225806454,0.5054838709677419,16.0,16.0,32.0,98304.0,0.0,0.0,2180.0,256.0,0.006129032258064517,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000005,1.0,11,0x200060000000,0x200060101004,1052676,6,23,1088.0,0.0,0.0,0
8,512,needle_cuda_shared_2,input_itemsets,1,620427603.6522582,927793908.2361289,10313.58064516129,1.4629032258064514,0.6987096774193549,11114.322580645161,10.763548387096774,0.4838709677419355,1403.0303225806454,0.5054838709677419,16.0,16.0,32.0,98304.0,0.0,0.0,2180.0,256.0,0.006129032258064517,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000005,1.0,11,0x200060200000,0x200060301004,1052676,6,5,1088.0,0.0,0.0,3
9,768,needle_cuda_shared_1,referrence,0,617796465.0604168,923816027.8087498,10399.958333333334,2.2218750000000003,1.0552083333333335,11256.0,10.750208333333333,0.7004166666666666,2160.0420833333333,0.765,16.0,24.5,32.0,98304.0,0.0,0.0,2180.0,392.0,0.009583333333333338,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000012,1.0,11,0x200060000000,0x200060241804,2365444,9,74,2368.0,0.0,0.0,0
10,768,needle_cuda_shared_1,input_itemsets,1,617796465.0604168,923816027.8087498,10399.958333333334,2.2218750000000003,1.0552083333333335,11256.0,10.750208333333333,0.7004166666666666,2160.0420833333333,0.765,16.0,24.5,32.0,98304.0,0.0,0.0,2180.0,392.0,0.009583333333333338,32.0,64.0,42.0,64.0,32.0,50.0,1.5600000000000012,1.0,11,0x200060400000,0x200060641804,2365444,9,66,2368.0,0.0,0.0,0
