No,Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
1,a,0,111,1008,0x200060000000,0x2000603e0400,4064256,23,46,4032.0,4032.0,0.0
2,b,1,111,1008,0x200060400000,0x200060400fc0,4032,2,256,64.0,64.0,0.0
3,m,2,111,1008,0x200060600000,0x2000609e0400,4064256,12,47,4032.0,0.0,0.0
4,a,0,111,1024,0x200060000000,0x200060400000,4194304,26,282,4160.0,4160.0,0.0
5,b,1,111,1024,0x200060400000,0x200060401000,4096,2,256,64.0,64.0,0.0
6,m,2,111,1024,0x200060600000,0x200060a00000,4194304,12,46,4096.0,0.0,0.0
7,a,0,111,112,0x200060000000,0x20006000c400,50176,2,56,64.0,64.0,0.0
8,b,1,111,112,0x20006000c400,0x20006000c5c0,448,0,0,0.0,0.0,0.0
9,m,2,111,112,0x20006000c600,0x200060018a00,50176,1,8,64.0,0.0,0.0
10,a,0,111,128,0x200060000000,0x200060010000,65536,4,64,128.0,128.0,0.0
11,b,1,111,128,0x200060010000,0x200060010200,512,2,8,64.0,64.0,0.0
12,m,2,111,128,0x200060010200,0x200060020200,65536,1,1,64.0,0.0,0.0
13,a,0,111,144,0x200060000000,0x200060014400,82944,4,68,128.0,128.0,0.0
14,b,1,111,144,0x200060014400,0x200060014640,576,0,0,0.0,0.0,0.0
15,m,2,111,144,0x200060014800,0x200060028c00,82944,1,6,64.0,0.0,0.0
16,a,0,111,16,0x200060000000,0x200060000400,1024,2,9,64.0,64.0,0.0
17,b,1,111,16,0x200060000400,0x200060000440,64,0,0,0.0,0.0,0.0
18,m,2,111,16,0x200060000600,0x200060000a00,1024,0,0,0.0,0.0,0.0
19,a,0,111,160,0x200060000000,0x200060019000,102400,4,67,128.0,128.0,0.0
20,b,1,111,160,0x200060019000,0x200060019280,640,0,0,0.0,0.0,0.0
21,m,2,111,160,0x200060019400,0x200060032400,102400,1,4,128.0,0.0,0.0
22,a,0,111,176,0x200060000000,0x20006001e400,123904,4,59,128.0,128.0,0.0
23,b,1,111,176,0x20006001e400,0x20006001e6c0,704,0,0,0.0,0.0,0.0
24,m,2,111,176,0x20006001e800,0x20006003cc00,123904,1,7,128.0,0.0,0.0
25,a,0,111,192,0x200060000000,0x200060024000,147456,6,59,192.0,192.0,0.0
26,b,1,111,192,0x200060024000,0x200060024300,768,0,0,0.0,0.0,0.0
27,m,2,111,192,0x200060024400,0x200060048400,147456,1,5,128.0,64.0,0.0
28,a,0,111,208,0x200060000000,0x20006002a400,173056,6,50,192.0,192.0,0.0
29,b,1,111,208,0x20006002a400,0x20006002a740,832,0,0,0.0,0.0,0.0
30,m,2,111,208,0x20006002a800,0x200060054c00,173056,1,5,320.0,64.0,0.0
31,a,0,111,224,0x200060000000,0x200060031000,200704,6,40,256.0,256.0,0.0
32,b,1,111,224,0x200060031000,0x200060031380,896,0,0,0.0,0.0,0.0
33,m,2,111,224,0x200060031400,0x200060062400,200704,1,8,256.0,0.0,0.0
34,a,0,111,240,0x200060000000,0x200060038400,230400,6,41,256.0,256.0,0.0
35,b,1,111,240,0x200060038400,0x2000600387c0,960,0,0,0.0,0.0,0.0
36,m,2,111,240,0x200060038800,0x200060070c00,230400,1,1,256.0,0.0,0.0
37,a,0,111,256,0x200060000000,0x200060040000,262144,8,57,320.0,320.0,0.0
