No,Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
1,gaussian,1008,0,Fan2,870821114.37,9.31,142073,1301556390.52,10.6,109120,10.6,100869.86,4.62,11.35,0.26,0.18,0.26,6.5,6.5,83052492668.62,9.92,10.6,89.96,3.92,75.24,1.42,0.08,91.79,1,0.08,8.21,14.51,15.96,17.34,17.33,17.33,6555.94,2097900,6560.76,2099444,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.99,7.8,32,50
2,gaussian,1008,1,Fan1,742097701.15,6.89,6203,1113505747.13,6.89,5568,0.94,68.71,0.09,57.8,0.29,0.0,0.3,7.46,7.46,52339080459.77,0.67,6.89,50.75,0.09,1.47,3.57,0.12,92.36,1,0.08,7.64,28.95,31.53,48.89,46.74,46.74,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.09,20.46,64,100
3,gaussian,1008,2,Fan2,871294393.89,9.33,142046,1302094034.34,10.62,109024,10.62,106304.75,4.62,10.76,0.25,0.18,0.25,6.17,6.17,83198415027.88,9.96,10.62,90.51,3.92,75.09,1.45,0.08,91.7,1,0.08,8.3,14.49,15.94,17.44,17.42,17.42,6555.94,2097900,6561.7,2099744,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.51,7.04,32,50
4,gaussian,1008,3,Fan1,728070175.44,7.17,5970,1090704191.03,7.17,5472,0.98,68.33,0.09,58.07,0.29,0.0,0.3,7.5,7.5,53456140350.88,0.7,7.17,50.75,0.09,1.47,3.68,0.12,92.22,1,0.08,7.78,28.93,31.5,49.47,47.3,47.3,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.17,20.58,64,100
5,gaussian,1008,4,Fan2,870709885.6,9.28,142035,1301241505.33,10.6,109088,10.6,106092.98,4.61,10.74,0.25,0.18,0.25,6.17,6.17,82752420064.54,9.98,10.6,90.94,3.91,75.4,1.4,0.08,91.88,1,0.08,8.12,14.51,15.96,17.31,17.29,17.29,6537.8,2092095,6543.06,2093778,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.39,6.85,32,50
6,gaussian,1008,5,Fan1,710714285.71,7.19,5944,1060952380.95,7.19,5600,0.98,67.67,0.09,58.57,0.29,0.0,0.3,7.57,7.57,52291428571.43,0.7,7.19,50.75,0.09,1.47,3.59,0.12,92.09,1,0.08,7.91,28.91,31.48,47.52,45.43,45.43,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.98,20.29,64,100
7,gaussian,1008,6,Fan2,870925110.13,9.34,141881,1301622919.73,9.34,108960,8.9,100293.31,4.6,9.61,0.26,0.18,0.26,6.51,6.51,83280763582.97,8.9,9.34,86.48,3.91,73.18,1.45,0.08,91.78,1,0.08,8.22,14.52,15.98,17.63,17.62,17.62,6524.46,2087828,6528.51,2089122,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,5.04,7.88,32,50
8,gaussian,1008,7,Fan1,709039548.02,7.13,6013,1061234698.68,7.13,5664,0.97,68.76,0.09,57.59,0.29,0.0,0.3,7.45,7.45,51802259887.01,0.69,7.13,50.75,0.09,1.47,3.55,0.12,92.14,1,0.08,7.86,28.88,31.45,47.15,45.08,45.08,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.02,20.34,64,100
9,gaussian,1008,8,Fan2,869762672.14,9.31,142046,1299840072.27,10.54,109216,10.54,104479.26,4.6,10.88,0.25,0.18,0.25,6.25,6.25,82889246996.78,10.06,10.54,91.25,3.9,75.48,1.45,0.09,91.66,1,0.08,8.34,14.5,15.96,17.39,17.37,17.37,6524.46,2087828,6529.38,2089401,16,63504,16,0,0,0,1016064,24.81,32,128,32,64,4.66,7.28,32,50
10,gaussian,1008,9,Fan1,729411764.71,7.17,5947,1092830882.35,7.17,5440,0.98,73.33,0.09,53.95,0.27,0.0,0.28,6.99,6.99,53523529411.76,0.7,7.17,50.75,0.09,1.47,3.31,0.12,92.26,1,0.08,7.74,28.86,31.43,44.76,42.79,42.79,4.9,1568,5.12,1640,512,2,17,0,0,0,1024,0.01,32,5,32,4,13.14,20.54,64,100
