No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
1,lud,1024,0,lud_diagonal,804904051.17,1204324360.34,18075,0.1,0.01,15008,9.39,0.05,187.93,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
2,lud,1024,1,lud_perimeter,456973293.77,681333456.97,7352,3.57,2.54,10784,8.96,2.21,2923.51,2.92,32,62,81,65536,0,0,3072,1984,0.04,32,20,32,64,20,31.25,1.56,1.0
3,lud,1024,2,lud_internal,854501607.72,1255685624.33,25073,60.82,30.09,19904,74.79,29.19,20323.92,46.14,256,3844,30,16384,0,0,2048,984064,6.01,32,8,48,8,64,100.0,83.21,53.26
4,lud,1024,3,lud_diagonal,807939914.16,1210244545.78,18050,0.1,0.01,14912,9.41,0.05,187.53,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
5,lud,1024,4,lud_perimeter,453908554.57,677498156.34,7354,3.5,2.5,10848,8.92,2.17,2880.24,2.87,32,61,81,65536,0,0,3072,1952,0.04,32,20,32,64,20,31.25,1.56,1.0
6,lud,1024,5,lud_internal,818107667.21,1201085848.29,23645,62.24,30.59,19616,74.76,30.31,19614.74,47.38,256,3721,30,16384,0,0,2048,952576,5.81,32,8,48,8,64,100.0,81.69,52.28
7,lud,1024,6,lud_diagonal,807939914.16,1209339234.62,18035,0.1,0.01,14912,9.41,0.05,187.56,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
8,lud,1024,7,lud_perimeter,478461538.46,712355769.23,7413,3.42,2.43,10400,8.82,2.12,2872.8,2.8,32,60,81,65536,0,0,3072,1920,0.04,32,20,32,64,20,31.25,1.56,1.0
9,lud,1024,8,lud_internal,848993288.59,1248759088.37,23896,59.74,28.57,19072,74.65,28.19,19060.33,45.35,256,3600,30,16384,0,0,2048,921600,5.62,32,8,48,8,64,100.0,82.16,52.58
10,lud,1024,9,lud_diagonal,815450643.78,1218492936.34,18171,0.1,0.01,14912,9.4,0.05,187.59,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
11,lud,1024,10,lud_perimeter,449554896.14,671318620.18,7245,3.43,2.46,10784,8.71,2.13,2854.01,2.82,32,59,81,65536,0,0,3072,1888,0.04,32,20,32,64,20,31.25,1.56,1.0
12,lud,1024,11,lud_internal,819073455.76,1205437882.58,23186,59.56,28.18,19168,73.08,29.27,18830.46,45.2,256,3481,30,16384,0,0,2048,891136,5.44,32,8,48,8,64,100.0,81.71,52.3
13,lud,1024,12,lud_diagonal,818669527.9,1224025393.42,18256,0.1,0.01,14912,9.4,0.05,187.69,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
14,lud,1024,13,lud_perimeter,458333333.33,685143849.21,7370,3.33,2.38,10752,8.63,2.06,2840.21,2.73,32,58,81,65536,0,0,3072,1856,0.04,32,20,32,64,20,31.25,1.56,1.0
15,lud,1024,14,lud_internal,806368330.46,1185563683.3,22123,60.55,27.78,18592,73.37,29.12,18189.56,45.79,256,3364,30,16384,0,0,2048,861184,5.26,32,8,48,8,64,100.0,81.38,52.08
16,lud,1024,15,lud_diagonal,807939914.16,1209328057.94,18035,0.1,0.01,14912,9.41,0.05,187.39,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
