No,Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
1,referrence ,0,11,1024,0x200060000000,0x200060402004,4202500,13,28,4160.0,0.0,0.0
2,input_itemsets ,1,11,1024,0x200060600000,0x200060a02004,4202500,13,12,4160.0,0.0,0.0
3,referrence ,0,11,10240,0x200060000000,0x200079014004,419512324,1202,1260,409728.0,0.0,0.0
4,input_itemsets ,1,11,10240,0x200080000000,0x200099014004,419512324,1202,930,409728.0,0.0,0.0
5,referrence ,0,11,10496,0x200060000000,0x20007a454804,440748036,1264,1320,430464.0,0.0,0.0
6,input_itemsets ,1,11,10496,0x200080000000,0x20009a454804,440748036,1264,876,430464.0,0.0,0.0
7,referrence ,0,11,10752,0x200060000000,0x20007b915004,462508036,1326,1331,451712.0,0.0,0.0
8,input_itemsets ,1,11,10752,0x200080000000,0x20009b915004,462508036,1326,909,451712.0,0.0,0.0
9,referrence ,0,11,11008,0x200060000000,0x20007ce55804,484792324,1390,1368,473472.0,0.0,0.0
10,input_itemsets ,1,11,11008,0x200080000000,0x20009ce55804,484792324,1390,914,473472.0,0.0,0.0
11,referrence ,0,11,11264,0x200060000000,0x20007e416004,507600900,1454,1409,495744.0,0.0,0.0
12,input_itemsets ,1,11,11264,0x200080000000,0x20009e416004,507600900,1454,940,495744.0,0.0,0.0
13,referrence ,0,11,11520,0x200060000000,0x20007fa56804,530933764,1522,1400,518528.0,0.0,0.0
14,input_itemsets ,1,11,11520,0x200080000000,0x20009fa56804,530933764,1522,959,518528.0,0.0,0.0
15,referrence ,0,11,11776,0x200060000000,0x200081117004,554790916,1590,1419,541824.0,0.0,0.0
16,input_itemsets ,1,11,11776,0x2000a0000000,0x2000c1117004,554790916,1590,940,541824.0,0.0,0.0
17,referrence ,0,11,12032,0x200060000000,0x200082857804,579172356,1660,1443,565632.0,0.0,0.0
18,input_itemsets ,1,11,12032,0x2000a0000000,0x2000c2857804,579172356,1660,964,565632.0,0.0,0.0
19,referrence ,0,11,12288,0x200060000000,0x200084018004,604078084,1730,1411,589952.0,0.0,0.0
20,input_itemsets ,1,11,12288,0x2000a0000000,0x2000c4018004,604078084,1730,1058,589952.0,0.0,0.0
21,referrence ,0,11,12544,0x200060000000,0x200085858804,629508100,1804,1516,614784.0,0.0,0.0
22,input_itemsets ,1,11,12544,0x2000a0000000,0x2000c5858804,629508100,1804,1010,614784.0,0.0,0.0
23,referrence ,0,11,1280,0x200060000000,0x200060642804,6563844,21,129,6464.0,0.0,0.0
24,input_itemsets ,1,11,1280,0x200060800000,0x200060e42804,6563844,21,144,6464.0,0.0,0.0
25,referrence ,0,11,12800,0x200060000000,0x200087119004,655462404,1878,1506,640128.0,0.0,0.0
26,input_itemsets ,1,11,12800,0x2000a0000000,0x2000c7119004,655462404,1878,1035,640128.0,0.0,0.0
27,referrence ,0,11,13056,0x200060000000,0x200088a59804,681940996,1954,1615,665984.0,0.0,0.0
28,input_itemsets ,1,11,13056,0x2000a0000000,0x2000c8a59804,681940996,1954,1075,665984.0,0.0,0.0
29,referrence ,0,11,13312,0x200060000000,0x20008a41a004,708943876,2030,1603,692352.0,0.0,0.0
30,input_itemsets ,1,11,13312,0x2000a0000000,0x2000ca41a004,708943876,2030,1076,692352.0,0.0,0.0
31,referrence ,0,11,13568,0x200060000000,0x20008be5a804,736471044,2110,1610,719232.0,0.0,0.0
32,input_itemsets ,1,11,13568,0x2000a0000000,0x2000cbe5a804,736471044,2110,1057,719232.0,0.0,0.0
33,referrence ,0,11,13824,0x200060000000,0x20008d91b004,764522500,2190,1649,746624.0,0.0,0.0
34,input_itemsets ,1,11,13824,0x2000a0000000,0x2000cd91b004,764522500,2190,1089,746624.0,0.0,0.0
35,referrence ,0,11,14080,0x200060000000,0x20008f45b804,793098244,2272,1644,774528.0,0.0,0.0
36,input_itemsets ,1,11,14080,0x2000a0000000,0x2000cf45b804,793098244,2272,1110,774528.0,0.0,0.0
37,referrence ,0,11,14336,0x200060000000,0x20009101c004,822198276,2354,1686,802944.0,0.0,0.0
38,input_itemsets ,1,11,14336,0x2000a0000000,0x2000d101c004,822198276,2354,1122,802944.0,0.0,0.0
39,referrence ,0,11,14592,0x200060000000,0x200092c5c804,851822596,2440,1720,831872.0,0.0,0.0
40,input_itemsets ,1,11,14592,0x2000a0000000,0x2000d2c5c804,851822596,2440,1129,831872.0,0.0,0.0
41,referrence ,0,11,14848,0x200060000000,0x20009491d004,881971204,2526,1729,861312.0,0.0,0.0
42,input_itemsets ,1,11,14848,0x2000a0000000,0x2000d491d004,881971204,2526,1141,861312.0,0.0,0.0
43,referrence ,0,11,15104,0x200060000000,0x20009665d804,912644100,2614,1785,891264.0,0.0,0.0
44,input_itemsets ,1,11,15104,0x2000a0000000,0x2000d665d804,912644100,2614,1166,891264.0,0.0,0.0
45,referrence ,0,11,1536,0x200060000000,0x200060903004,9449476,29,220,9280.0,0.0,0.0
46,input_itemsets ,1,11,1536,0x200060a00000,0x200061303004,9449476,29,172,9280.0,0.0,0.0
47,referrence ,0,11,15360,0x200060000000,0x20009841e004,943841284,2702,1789,921728.0,0.0,0.0
48,input_itemsets ,1,11,15360,0x2000a0000000,0x2000d841e004,943841284,2702,1211,921728.0,0.0,0.0
49,referrence ,0,11,15616,0x200060000000,0x20009a25e804,975562756,2794,1872,952704.0,0.0,0.0
50,input_itemsets ,1,11,15616,0x2000a0000000,0x2000da25e804,975562756,2794,1181,952704.0,0.0,0.0
51,referrence ,0,11,15872,0x200060000000,0x20009c11f004,1007808516,2886,1906,984192.0,0.0,0.0
52,input_itemsets ,1,11,15872,0x2000a0000000,0x2000dc11f004,1007808516,2886,1188,984192.0,0.0,0.0
53,referrence ,0,11,16128,0x200060000000,0x20009e05f804,1040578564,2980,1941,1016192.0,0.0,0.0
54,input_itemsets ,1,11,16128,0x2000a0000000,0x2000de05f804,1040578564,2980,1235,1016192.0,0.0,0.0
55,referrence ,0,11,16384,0x200060000000,0x2000a0020004,1073872900,3074,2387,1048768.0,0.0,0.0
56,input_itemsets ,1,11,16384,0x2000c0000000,0x200100020004,1073872900,3074,1552,1048768.0,0.0,0.0
57,referrence ,0,11,1792,0x200060000000,0x200060c43804,12859396,39,318,12608.0,0.0,0.0
58,input_itemsets ,1,11,1792,0x200060e00000,0x200061a43804,12859396,39,236,12608.0,0.0,0.0
59,referrence ,0,11,2048,0x200060000000,0x200061004004,16793604,49,96,16448.0,0.0,0.0
60,input_itemsets ,1,11,2048,0x200061200000,0x200062204004,16793604,49,96,16448.0,0.0,0.0
61,referrence ,0,11,2304,0x200060000000,0x200061444804,21252100,63,402,20800.0,0.0,0.0
62,input_itemsets ,1,11,2304,0x200061600000,0x200062a44804,21252100,63,297,20800.0,0.0,0.0
63,referrence ,0,11,256,0x200060000000,0x200060040804,264196,2,19,320.0,0.0,0.0
64,input_itemsets ,1,11,256,0x200060040a00,0x200060081204,264196,3,7,256.0,0.0,0.0
65,referrence ,0,11,2560,0x200060000000,0x200061905004,26234884,77,440,25664.0,0.0,0.0
66,input_itemsets ,1,11,2560,0x200061a00000,0x200063305004,26234884,77,317,25664.0,0.0,0.0
67,referrence ,0,11,2816,0x200060000000,0x200061e45804,31741956,93,509,31040.0,0.0,0.0
68,input_itemsets ,1,11,2816,0x200062000000,0x200063e45804,31741956,93,357,31040.0,0.0,0.0
69,referrence ,0,11,3072,0x200060000000,0x200062406004,37773316,109,468,36928.0,0.0,0.0
70,input_itemsets ,1,11,3072,0x200062600000,0x200064a06004,37773316,109,338,36928.0,0.0,0.0
71,referrence ,0,11,3328,0x200060000000,0x200062a46804,44328964,129,581,43328.0,0.0,0.0
72,input_itemsets ,1,11,3328,0x200062c00000,0x200065646804,44328964,129,408,43328.0,0.0,0.0
73,referrence ,0,11,3584,0x200060000000,0x200063107004,51408900,149,619,50240.0,0.0,0.0
74,input_itemsets ,1,11,3584,0x200063200000,0x200066307004,51408900,149,424,50240.0,0.0,0.0
75,referrence ,0,11,3840,0x200060000000,0x200063847804,59013124,171,649,57664.0,0.0,0.0
76,input_itemsets ,1,11,3840,0x200063a00000,0x200067247804,59013124,171,444,57664.0,0.0,0.0
77,referrence ,0,11,4096,0x200060000000,0x200064008004,67141636,193,224,65600.0,0.0,0.0
78,input_itemsets ,1,11,4096,0x200064200000,0x200068208004,67141636,193,224,65600.0,0.0,0.0
79,referrence ,0,11,4352,0x200060000000,0x200064848804,75794436,219,750,74048.0,0.0,0.0
80,input_itemsets ,1,11,4352,0x200064a00000,0x200069248804,75794436,219,501,74048.0,0.0,0.0
81,referrence ,0,11,4608,0x200060000000,0x200065109004,84971524,245,766,83008.0,0.0,0.0
82,input_itemsets ,1,11,4608,0x200065200000,0x20006a309004,84971524,245,510,83008.0,0.0,0.0
83,referrence ,0,11,4864,0x200060000000,0x200065a49804,94672900,273,800,92480.0,0.0,0.0
84,input_itemsets ,1,11,4864,0x200065c00000,0x20006b649804,94672900,273,542,92480.0,0.0,0.0
85,referrence ,0,11,512,0x200060000000,0x200060101004,1052676,6,23,1088.0,0.0,0.0
86,input_itemsets ,1,11,512,0x200060200000,0x200060301004,1052676,6,5,1088.0,0.0,0.0
87,referrence ,0,11,5120,0x200060000000,0x20006640a004,104898564,301,789,102464.0,0.0,0.0
88,input_itemsets ,1,11,5120,0x200066600000,0x20006ca0a004,104898564,301,536,102464.0,0.0,0.0
89,referrence ,0,11,5376,0x200060000000,0x200066e4a804,115648516,333,851,112960.0,0.0,0.0
90,input_itemsets ,1,11,5376,0x200067000000,0x20006de4a804,115648516,333,569,112960.0,0.0,0.0
91,referrence ,0,11,5632,0x200060000000,0x20006790b004,126922756,365,865,123968.0,0.0,0.0
92,input_itemsets ,1,11,5632,0x200067a00000,0x20006f30b004,126922756,365,590,123968.0,0.0,0.0
93,referrence ,0,11,5888,0x200060000000,0x20006844b804,138721284,399,891,135488.0,0.0,0.0
94,input_itemsets ,1,11,5888,0x200068600000,0x200070a4b804,138721284,399,605,135488.0,0.0,0.0
95,referrence ,0,11,6144,0x200060000000,0x20006900c004,151044100,433,813,147520.0,0.0,0.0
96,input_itemsets ,1,11,6144,0x200069200000,0x20007220c004,151044100,433,565,147520.0,0.0,0.0
97,referrence ,0,11,6400,0x200060000000,0x200069c4c804,163891204,471,937,160064.0,0.0,0.0
98,input_itemsets ,1,11,6400,0x200069e00000,0x200073a4c804,163891204,471,641,160064.0,0.0,0.0
99,referrence ,0,11,6656,0x200060000000,0x20006a90d004,177262596,509,971,173120.0,0.0,0.0
100,input_itemsets ,1,11,6656,0x20006aa00000,0x20007530d004,177262596,509,659,173120.0,0.0,0.0
101,referrence ,0,11,6912,0x200060000000,0x20006b64d804,191158276,549,990,186688.0,0.0,0.0
102,input_itemsets ,1,11,6912,0x20006b800000,0x200076e4d804,191158276,549,672,186688.0,0.0,0.0
103,referrence ,0,11,7168,0x200060000000,0x20006c40e004,205578244,589,995,200768.0,0.0,0.0
104,input_itemsets ,1,11,7168,0x20006c600000,0x200078a0e004,205578244,589,669,200768.0,0.0,0.0
105,referrence ,0,11,7424,0x200060000000,0x20006d24e804,220522500,633,1048,215360.0,0.0,0.0
106,input_itemsets ,1,11,7424,0x20006d400000,0x20007a64e804,220522500,633,705,215360.0,0.0,0.0
107,referrence ,0,11,768,0x200060000000,0x200060241804,2365444,9,74,2368.0,0.0,0.0
108,input_itemsets ,1,11,768,0x200060400000,0x200060641804,2365444,9,66,2368.0,0.0,0.0
109,referrence ,0,11,7680,0x200060000000,0x20006e10f004,235991044,677,1088,230464.0,0.0,0.0
110,input_itemsets ,1,11,7680,0x20006e200000,0x20007c30f004,235991044,677,729,230464.0,0.0,0.0
111,referrence ,0,11,7936,0x200060000000,0x20006f04f804,251983876,723,1106,246080.0,0.0,0.0
112,input_itemsets ,1,11,7936,0x20006f200000,0x20007e24f804,251983876,723,757,246080.0,0.0,0.0
113,referrence ,0,11,8192,0x200060000000,0x200070010004,268500996,770,768,262272.0,0.0,0.0
114,input_itemsets ,1,11,8192,0x200080000000,0x200090010004,268500996,770,640,262272.0,0.0,0.0
115,referrence ,0,11,8448,0x200060000000,0x200071050804,285542404,820,1170,278912.0,0.0,0.0
116,input_itemsets ,1,11,8448,0x200080000000,0x200091050804,285542404,820,793,278912.0,0.0,0.0
117,referrence ,0,11,8704,0x200060000000,0x200072111004,303108100,870,1204,296064.0,0.0,0.0
118,input_itemsets ,1,11,8704,0x200080000000,0x200092111004,303108100,870,801,296064.0,0.0,0.0
119,referrence ,0,11,8960,0x200060000000,0x200073251804,321198084,922,1210,313728.0,0.0,0.0
120,input_itemsets ,1,11,8960,0x200080000000,0x200093251804,321198084,922,824,313728.0,0.0,0.0
121,referrence ,0,11,9216,0x200060000000,0x200074412004,339812356,974,1227,331904.0,0.0,0.0
122,input_itemsets ,1,11,9216,0x200080000000,0x200094412004,339812356,974,847,331904.0,0.0,0.0
123,referrence ,0,11,9472,0x200060000000,0x200075652804,358950916,1030,1270,350592.0,0.0,0.0
124,input_itemsets ,1,11,9472,0x200080000000,0x200095652804,358950916,1030,837,350592.0,0.0,0.0
125,referrence ,0,11,9728,0x200060000000,0x200076913004,378613764,1086,1267,369792.0,0.0,0.0
126,input_itemsets ,1,11,9728,0x200080000000,0x200096913004,378613764,1086,860,369792.0,0.0,0.0
127,referrence ,0,11,9984,0x200060000000,0x200077c53804,398800900,1144,1277,389504.0,0.0,0.0
128,input_itemsets ,1,11,9984,0x200080000000,0x200097c53804,398800900,1144,857,389504.0,0.0,0.0
