No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
1,needle,1024,0,needle_cuda_shared_1,598870056.5,896613112.05,10158,0.1,0.05,11328,10.65,0.1,88.39,0.03,16,1,32,98304,0,0,2180,16,0.0,32,64,42,64,32,50,1.56,1.0
2,needle,1024,1,needle_cuda_shared_1,606017191.98,906802172.87,10132,0.19,0.09,11168,10.86,0.15,173.5,0.06,16,2,32,98304,0,0,2180,32,0.0,32,64,42,64,32,50,1.56,1.0
3,needle,1024,2,needle_cuda_shared_1,618155619.6,923736191.16,10260,0.28,0.13,11104,10.79,0.17,261.74,0.1,16,3,32,98304,0,0,2180,48,0.0,32,64,42,64,32,50,1.56,1.0
4,needle,1024,3,needle_cuda_shared_1,602528089.89,900807584.27,10264,0.37,0.18,11392,10.69,0.22,352.84,0.13,16,4,32,98304,0,0,2180,64,0.0,32,64,42,64,32,50,1.56,1.0
5,needle,1024,4,needle_cuda_shared_1,611747851.0,914040114.61,10213,0.46,0.22,11168,10.62,0.24,443.35,0.16,16,5,32,98304,0,0,2180,80,0.0,32,64,42,64,32,50,1.56,1.0
6,needle,1024,5,needle_cuda_shared_1,602528089.89,902826544.94,10288,0.55,0.26,11392,10.69,0.3,528.99,0.19,16,6,32,98304,0,0,2180,96,0.0,32,64,42,64,32,50,1.56,1.0
7,needle,1024,6,needle_cuda_shared_1,618075801.75,924122327.5,10146,0.65,0.31,10976,10.81,0.3,610.16,0.23,16,7,32,98304,0,0,2180,112,0.0,32,64,42,64,32,50,1.56,1.0
8,needle,1024,7,needle_cuda_shared_1,620056497.18,928510475.52,10522,0.72,0.34,11328,10.78,0.33,699.42,0.25,16,8,32,98304,0,0,2180,128,0.0,32,64,42,64,32,50,1.56,1.0
9,needle,1024,8,needle_cuda_shared_1,623546511.63,931610343.99,10259,0.83,0.4,11008,10.73,0.33,790.21,0.29,16,9,32,98304,0,0,2180,144,0.0,32,64,42,64,32,50,1.56,1.0
10,needle,1024,9,needle_cuda_shared_1,608974358.97,910434472.93,10230,0.92,0.44,11232,10.81,0.39,871.7,0.32,16,10,32,98304,0,0,2180,160,0.0,32,64,42,64,32,50,1.56,1.0
11,needle,1024,10,needle_cuda_shared_1,615056818.18,918930516.1,10354,1.0,0.48,11264,10.82,0.36,958.38,0.35,16,11,32,98304,0,0,2180,176,0.0,32,64,42,64,32,50,1.56,1.0
12,needle,1024,11,needle_cuda_shared_1,631844380.4,944584534.1,10491,1.08,0.52,11104,10.8,0.42,1047.6,0.37,16,12,32,98304,0,0,2180,192,0.0,32,64,42,64,32,50,1.56,1.0
13,needle,1024,12,needle_cuda_shared_1,623188405.8,932442632.85,10297,1.19,0.57,11040,10.77,0.4,1137.96,0.41,16,13,32,98304,0,0,2180,208,0.01,32,64,42,64,32,50,1.56,1.0
14,needle,1024,13,needle_cuda_shared_1,617478510.03,923740448.9,10319,1.28,0.61,11168,10.73,0.47,1229.79,0.44,16,14,32,98304,0,0,2180,224,0.01,32,64,42,64,32,50,1.56,1.0
15,needle,1024,14,needle_cuda_shared_1,605714285.71,906964285.71,10161,1.4,0.67,11200,10.85,0.44,1307.01,0.48,16,15,32,98304,0,0,2180,240,0.01,32,64,42,64,32,50,1.56,1.0
16,needle,1024,15,needle_cuda_shared_1,635568513.12,949313654.03,10422,1.5,0.69,10976,11.13,0.55,1407.17,0.5,16,16,32,98304,0,0,2180,256,0.01,32,64,42,64,32,50,1.56,1.0
17,needle,1024,16,needle_cuda_shared_1,612994350.28,916534251.41,10386,1.54,0.74,11328,10.83,0.47,1479.04,0.53,16,17,32,98304,0,0,2180,272,0.01,32,64,42,64,32,50,1.56,1.0
18,needle,1024,17,needle_cuda_shared_1,608450704.23,906954225.35,10305,1.65,0.78,11360,10.83,0.56,1566.11,0.57,16,18,32,98304,0,0,2180,288,0.01,32,64,42,64,32,50,1.56,1.0
19,needle,1024,18,needle_cuda_shared_1,594529085.87,890841412.74,10295,1.74,0.83,11552,10.72,0.51,1670.49,0.6,16,19,32,98304,0,0,2180,304,0.01,32,64,42,64,32,50,1.56,1.0
20,needle,1024,19,needle_cuda_shared_1,629310344.83,940568127.39,10477,1.8,0.86,11136,10.74,0.59,1754.16,0.62,16,20,32,98304,0,0,2180,320,0.01,32,64,42,64,32,50,1.56,1.0
21,needle,1024,20,needle_cuda_shared_1,608450704.23,912954812.21,10376,1.91,0.91,11360,10.72,0.54,1845.47,0.66,16,21,32,98304,0,0,2180,336,0.01,32,64,42,64,32,50,1.56,1.0
22,needle,1024,21,needle_cuda_shared_1,620738636.36,926935369.32,10445,1.99,0.95,11264,10.77,0.64,1924.83,0.69,16,22,32,98304,0,0,2180,352,0.01,32,64,42,64,32,50,1.56,1.0
23,needle,1024,22,needle_cuda_shared_1,607986111.11,909620949.07,10481,2.07,0.99,11520,10.74,0.57,2017.84,0.72,16,23,32,98304,0,0,2180,368,0.01,32,64,42,64,32,50,1.56,1.0
24,needle,1024,23,needle_cuda_shared_1,612215909.09,916060014.2,10320,2.19,1.05,11264,10.77,0.69,2098.19,0.76,16,24,32,98304,0,0,2180,384,0.01,32,64,42,64,32,50,1.56,1.0
25,needle,1024,24,needle_cuda_shared_1,622478386.17,932261647.45,10356,2.28,1.09,11104,10.77,0.61,2187.84,0.79,16,25,32,98304,0,0,2180,400,0.01,32,64,42,64,32,50,1.56,1.0
26,needle,1024,25,needle_cuda_shared_1,633017492.71,946140063.17,10387,2.36,1.13,10976,10.81,0.73,2267.47,0.82,16,26,32,98304,0,0,2180,416,0.01,32,64,42,64,32,50,1.56,1.0
27,needle,1024,26,needle_cuda_shared_1,619658119.66,926430436.85,10407,2.45,1.17,11232,10.77,0.64,2361.88,0.85,16,27,32,98304,0,0,2180,432,0.01,32,64,42,64,32,50,1.56,1.0
28,needle,1024,27,needle_cuda_shared_1,599439775.91,897190126.05,10250,2.57,1.23,11424,10.78,0.78,2447.68,0.89,16,28,32,98304,0,0,2180,448,0.01,32,64,42,64,32,50,1.56,1.0
29,needle,1024,28,needle_cuda_shared_1,625728862.97,936391520.89,10281,2.66,1.27,10976,10.87,0.68,2515.62,0.92,16,29,32,98304,0,0,2180,464,0.01,32,64,42,64,32,50,1.56,1.0
30,needle,1024,29,needle_cuda_shared_1,623579545.45,930456912.88,10483,2.7,1.28,11264,10.79,0.81,2621.0,0.93,16,30,32,98304,0,0,2180,480,0.01,32,64,42,64,32,50,1.56,1.0
31,needle,1024,30,needle_cuda_shared_1,624277456.65,934037813.1,10344,2.83,1.35,11072,10.81,0.72,2702.95,0.98,16,31,32,98304,0,0,2180,496,0.01,32,64,42,64,32,50,1.56,1.0
32,needle,1024,31,needle_cuda_shared_1,644092219.02,963721781.94,10702,2.82,1.34,11104,10.74,0.91,2806.74,0.98,16,32,32,98304,0,0,2180,512,0.01,32,64,42,64,32,50,1.56,1.0
33,needle,1024,32,needle_cuda_shared_1,619318181.82,924405184.66,10415,2.99,1.42,11264,10.85,0.74,2866.11,1.03,16,33,32,98304,0,0,2180,528,0.01,32,64,42,64,32,50,1.56,1.0
34,needle,1024,33,needle_cuda_shared_1,609375000.0,911310369.32,10267,3.12,1.49,11264,10.57,0.91,3031.07,1.08,16,34,32,98304,0,0,2180,544,0.01,32,64,42,64,32,50,1.56,1.0
35,needle,1024,34,needle_cuda_shared_1,621093750.0,928163470.64,10459,3.16,1.5,11264,10.88,0.78,3030.44,1.09,16,35,32,98304,0,0,2180,560,0.01,32,64,42,64,32,50,1.56,1.0
36,needle,1024,35,needle_cuda_shared_1,617478510.03,923889684.81,10320,3.29,1.57,11168,10.82,0.95,3134.7,1.14,16,36,32,98304,0,0,2180,576,0.01,32,64,42,64,32,50,1.56,1.0
37,needle,1024,36,needle_cuda_shared_1,597916666.67,895167824.07,10314,3.38,1.61,11520,10.82,0.82,3223.64,1.17,16,37,32,98304,0,0,2180,592,0.01,32,64,42,64,32,50,1.56,1.0
38,needle,1024,37,needle_cuda_shared_1,596418732.78,892475895.32,10369,3.45,1.65,11616,10.89,0.99,3288.99,1.2,16,38,32,98304,0,0,2180,608,0.01,32,64,42,64,32,50,1.56,1.0
39,needle,1024,38,needle_cuda_shared_1,612359550.56,916388693.82,10443,3.52,1.68,11392,10.75,0.85,3419.88,1.22,16,39,32,98304,0,0,2180,624,0.02,32,64,42,64,32,50,1.56,1.0
40,needle,1024,39,needle_cuda_shared_1,626801152.74,936029058.6,10397,3.63,1.73,11104,10.9,1.03,3457.25,1.26,16,40,32,98304,0,0,2180,640,0.02,32,64,42,64,32,50,1.56,1.0
41,needle,1024,40,needle_cuda_shared_1,620689655.17,930555555.56,10366,3.73,1.78,11136,10.84,0.89,3563.95,1.29,16,41,32,98304,0,0,2180,656,0.02,32,64,42,64,32,50,1.56,1.0
42,needle,1024,41,needle_cuda_shared_1,631177325.58,942662911.82,10379,3.81,1.82,11008,10.84,1.07,3652.45,1.32,16,42,32,98304,0,0,2180,672,0.02,32,64,42,64,32,50,1.56,1.0
43,needle,1024,42,needle_cuda_shared_1,630311614.73,942782105.76,10653,3.81,1.81,11296,10.88,0.91,3726.32,1.32,16,43,32,98304,0,0,2180,688,0.02,32,64,42,64,32,50,1.56,1.0
44,needle,1024,43,needle_cuda_shared_1,620000000.0,928854166.67,10405,3.99,1.9,11200,10.86,1.12,3818.11,1.38,16,44,32,98304,0,0,2180,704,0.02,32,64,42,64,32,50,1.56,1.0
45,needle,1024,44,needle_cuda_shared_1,615714285.71,918720238.1,10291,4.12,1.96,11200,10.84,0.97,3913.2,1.43,16,45,32,98304,0,0,2180,720,0.02,32,64,42,64,32,50,1.56,1.0
46,needle,1024,45,needle_cuda_shared_1,618515850.14,924261527.38,10266,4.22,2.01,11104,10.86,1.17,3991.04,1.46,16,46,32,98304,0,0,2180,736,0.02,32,64,42,64,32,50,1.56,1.0
47,needle,1024,46,needle_cuda_shared_1,630434782.61,944067028.99,10425,4.26,2.03,11040,10.8,1.0,4111.1,1.47,16,47,32,98304,0,0,2180,752,0.02,32,64,42,64,32,50,1.56,1.0
48,needle,1024,47,needle_cuda_shared_1,628531073.45,938471045.2,10634,4.42,2.03,11328,11.13,1.29,4221.54,1.47,16,48,32,98304,0,0,2180,768,0.02,32,64,42,64,32,50,1.56,1.0
49,needle,1024,48,needle_cuda_shared_1,626436781.61,937080938.7,10438,4.43,2.11,11136,10.89,1.02,4240.96,1.53,16,49,32,98304,0,0,2180,784,0.02,32,64,42,64,32,50,1.56,1.0
50,needle,1024,49,needle_cuda_shared_1,621428571.43,930104166.67,10423,4.52,2.16,11200,10.88,1.24,4331.91,1.57,16,50,32,98304,0,0,2180,800,0.02,32,64,42,64,32,50,1.56,1.0
51,needle,1024,50,needle_cuda_shared_1,617563739.38,923497993.39,10434,4.61,2.2,11296,10.83,1.06,4436.98,1.59,16,51,32,98304,0,0,2180,816,0.02,32,64,42,64,32,50,1.56,1.0
52,needle,1024,51,needle_cuda_shared_1,606994459.83,906538550.32,10473,4.68,2.23,11552,10.86,1.28,4512.81,1.62,16,52,32,98304,0,0,2180,832,0.02,32,64,42,64,32,50,1.56,1.0
