No,Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
1,points.p,0,111,16,0x200060000000,0x200060000200,512,7,15,320.0,256.0,128.0
2,center_table,1,111,16,0x200060000200,0x200060000240,64,0,0,0.0,0.0,0.0
3,coord_h,2,111,16,0x200060000400,0x2000600004c0,192,0,0,0.0,0.0,0.0
4,points.p,0,111,16384,0x200060000000,0x200060080000,524288,895,194051,60800.0,60800.0,192.0
5,center_table,1,111,16384,0x200060080000,0x200060090000,65536,808,193535,52032.0,51584.0,192.0
6,coord_h,2,111,16384,0x200060200000,0x200060a00000,8388608,24,2241,8192.0,0.0,0.0
7,points.p,0,111,4096,0x200060000000,0x200060020000,131072,68,5728,4288.0,4032.0,256.0
8,center_table,1,111,4096,0x200060020000,0x200060024000,16384,22,5117,1472.0,1216.0,256.0
9,coord_h,2,111,4096,0x200060024000,0x2000600a4000,524288,2,215,960.0,320.0,0.0
10,points.p,0,111,65536,0x200060000000,0x200060200000,2097152,695,45124,151104.0,77440.0,0.0
11,center_table,1,111,65536,0x200060200000,0x200060240000,262144,2668,87824,226880.0,226880.0,0.0
12,coord_h,2,111,65536,0x200060400000,0x200064400000,67108864,192,886,65536.0,0.0,0.0
13,centers.p,0,111,8192,0x200060000000,0x200060007d00,32000,356,58968,22592.0,22592.0,192.0
14,center_table,1,111,8192,0x200060007e00,0x20006000fe00,32768,0,0,0.0,0.0,0.0
15,coord_h,2,111,8192,0x200060200000,0x200060400000,2097152,6,765,2048.0,0.0,0.0
