No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
1,stream,16,0,kernel_compute_cost,708333333.33,1059606481.48,6410,0.13,0.02,6048,7.08,0.13,42.38,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.25,4.64
2,stream,16,1,kernel_compute_cost,715673575.13,1070245034.54,6611,0.12,0.02,6176,6.74,0.12,44.52,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.98,4.46
3,stream,16,2,kernel_compute_cost,734210526.32,1094599780.7,6656,0.12,0.02,6080,7.11,0.12,42.19,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.26,4.65
4,stream,16,3,kernel_compute_cost,719736842.11,1076233552.63,6545,0.12,0.02,6080,6.73,0.12,44.56,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.95,4.45
5,stream,16,4,kernel_compute_cost,683080808.08,1019702230.64,6461,0.12,0.02,6336,7.07,0.12,42.44,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.23,4.63
6,stream,16,5,kernel_compute_cost,715968586.39,1071198734.73,6548,0.12,0.02,6112,6.6,0.12,45.49,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.84,4.38
7,stream,16,6,kernel_compute_cost,707070707.07,1061079545.45,6724,0.12,0.02,6336,6.07,0.12,49.4,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.44,4.12
8,stream,16,7,kernel_compute_cost,720899470.9,1077573853.62,6518,0.12,0.02,6048,7.1,0.12,42.26,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.25,4.64
9,stream,16,8,kernel_compute_cost,728947368.42,1089939692.98,6628,0.12,0.02,6080,7.07,0.12,42.45,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.23,4.63
10,stream,16,9,kernel_compute_cost,706829896.91,1059600515.46,6579,0.12,0.02,6208,6.74,0.12,44.51,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.97,4.46
11,stream,16,10,kernel_compute_cost,721393034.83,1079420605.31,6944,0.12,0.02,6432,6.37,0.12,47.12,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.67,4.27
12,stream,16,11,kernel_compute_cost,679687500.0,1018337673.61,6258,0.13,0.02,6144,7.26,0.13,41.31,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.38,4.72
13,stream,16,12,kernel_compute_cost,735602094.24,1097594895.29,6709,0.12,0.02,6112,6.74,0.12,44.51,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.97,4.46
14,stream,16,13,kernel_compute_cost,704301075.27,1055163530.47,6281,0.13,0.02,5952,7.29,0.13,41.12,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.41,4.74
15,stream,16,14,kernel_compute_cost,710937500.0,1066053602.43,6550,0.12,0.02,6144,6.3,0.12,47.65,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.8,4.35
16,stream,16,15,kernel_compute_cost,718274111.68,1073181049.07,6767,0.12,0.02,6304,6.41,0.12,46.83,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.69,4.28
17,stream,16,16,kernel_compute_cost,720744680.85,1078208111.7,6489,0.13,0.02,6016,6.53,0.13,45.91,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.32,4.68
18,stream,16,17,kernel_compute_cost,692708333.33,1034342447.92,6358,0.13,0.02,6144,7.09,0.13,42.3,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.24,4.63
19,stream,16,18,kernel_compute_cost,730158730.16,1092702821.87,6610,0.12,0.02,6048,6.7,0.12,44.77,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.93,4.44
20,stream,16,19,kernel_compute_cost,743523316.06,1112208549.22,6870,0.12,0.02,6176,6.11,0.12,49.08,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.46,4.13
21,stream,16,20,kernel_compute_cost,724206349.21,1081486992.95,6542,0.12,0.02,6048,7.3,0.12,41.11,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.41,4.74
22,stream,16,21,kernel_compute_cost,703608247.42,1050257731.96,6521,0.12,0.02,6208,6.49,0.12,46.25,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.76,4.32
23,stream,16,22,kernel_compute_cost,706317204.3,1057123655.91,6294,0.13,0.02,5952,7.29,0.13,41.14,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.41,4.74
24,stream,16,23,kernel_compute_cost,730769230.77,1090758547.01,6809,0.12,0.02,6240,6.31,0.12,47.52,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.61,4.23
25,stream,16,24,kernel_compute_cost,737244897.96,1100977891.16,6907,0.12,0.02,6272,6.4,0.12,46.89,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.7,4.29
26,stream,16,25,kernel_compute_cost,697368421.05,1042817982.46,6344,0.13,0.02,6080,7.11,0.13,42.2,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.25,4.64
27,stream,16,26,kernel_compute_cost,704365079.37,1052717151.68,6368,0.13,0.02,6048,7.1,0.13,42.25,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.25,4.64
28,stream,16,27,kernel_compute_cost,707253886.01,1056805915.37,6528,0.12,0.02,6176,6.34,0.12,47.3,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.97,5.1
29,stream,16,28,kernel_compute_cost,706658291.46,1057605737.02,6736,0.12,0.02,6368,6.23,0.12,48.15,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.56,4.2
30,stream,16,29,kernel_compute_cost,695767195.77,1038855820.11,6285,0.13,0.02,6048,7.3,0.13,41.1,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.41,4.74
31,stream,16,30,kernel_compute_cost,717277486.91,1071853184.99,6553,0.12,0.02,6112,6.73,0.12,44.56,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.95,4.45
32,stream,16,31,kernel_compute_cost,717741935.48,1071208557.35,6377,0.13,0.02,5952,7.29,0.13,41.15,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.41,4.74
33,stream,16,32,kernel_compute_cost,709844559.59,1061609455.96,6557,0.12,0.02,6176,6.71,0.12,44.71,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.97,4.46
34,stream,16,33,kernel_compute_cost,725888324.87,1087246192.89,6856,0.12,0.02,6304,6.09,0.12,49.23,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.45,4.13
35,stream,16,34,kernel_compute_cost,712765957.45,1064633200.35,6406,0.13,0.02,6016,7.08,0.13,42.36,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.25,4.64
36,stream,16,35,kernel_compute_cost,718085106.38,1076102615.25,6475,0.13,0.02,6016,7.08,0.13,42.36,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,7.24,4.63
37,stream,16,36,kernel_compute_cost,732984293.19,1097267670.16,6708,0.12,0.02,6112,6.35,0.12,47.23,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.66,4.26
38,stream,16,37,kernel_compute_cost,731958762.89,1090501503.44,6773,0.12,0.02,6208,6.41,0.12,46.84,0.01,512,1,32,0,0,0,0,512,0.0,32,4,32,4,64,100,6.69,4.28
